year,state,state_po,D_name,R_name,T_name,party_win,D_votes,R_votes,T_votes,overall_winner,overall_runner_up,winner_state,electoral_votes,winner_votes,loser_votes,votes_to_flip,total_electoral_votes,electoral_votes_to_win,D_electoral,R_electoral,T_electoral,totalvotes
1976,ALABAMA,AL,Jimmy Carter,Gerald Ford,,D,659170,504070,0,D,R,True,9,659170,504070,77551,538,270,297,241,0,1163240
1976,ALASKA,AK,Jimmy Carter,Gerald Ford,,R,44058,71555,6785,D,R,False,3,44058,71555,0,538,270,297,241,0,122398
1976,ARIZONA,AZ,Jimmy Carter,Gerald Ford,,R,295602,418642,0,D,R,False,6,295602,418642,0,538,270,297,241,0,714244
1976,ARKANSAS,AR,Jimmy Carter,Gerald Ford,,D,499614,268753,0,D,R,True,6,499614,268753,115431,538,270,297,241,0,768367
1976,CALIFORNIA,CA,Jimmy Carter,Gerald Ford,,R,3742284,3882244,0,D,R,False,45,3742284,3882244,0,538,270,297,241,0,7624528
1976,COLORADO,CO,Jimmy Carter,Gerald Ford,,R,460353,584367,0,D,R,False,7,460353,584367,0,538,270,297,241,0,1044720
1976,CONNECTICUT,CT,Jimmy Carter,Gerald Ford,,R,647895,719261,0,D,R,False,8,647895,719261,0,538,270,297,241,0,1367156
1976,DELAWARE,DE,Jimmy Carter,Gerald Ford,,D,122596,109831,0,D,R,True,3,122596,109831,6383,538,270,297,241,0,232427
1976,FLORIDA,FL,Jimmy Carter,Gerald Ford,,D,1636000,1469531,0,D,R,True,17,1636000,1469531,83235,538,270,297,241,0,3105531
1976,GEORGIA,GA,Jimmy Carter,Gerald Ford,,D,979409,483743,0,D,R,True,12,979409,483743,247834,538,270,297,241,0,1463152
1976,HAWAII,HI,Jimmy Carter,Gerald Ford,,D,147375,140003,0,D,R,True,4,147375,140003,3687,538,270,297,241,0,287378
1976,IDAHO,ID,Jimmy Carter,Gerald Ford,,R,126549,204151,0,D,R,False,4,126549,204151,0,538,270,297,241,0,330700
1976,ILLINOIS,IL,Jimmy Carter,Gerald Ford,,R,2271295,2364269,0,D,R,False,26,2271295,2364269,0,538,270,297,241,0,4635564
1976,INDIANA,IN,Jimmy Carter,Gerald Ford,,R,1014714,1183958,0,D,R,False,13,1014714,1183958,0,538,270,297,241,0,2198672
1976,IOWA,IA,Jimmy Carter,Gerald Ford,,R,619931,632863,0,D,R,False,8,619931,632863,0,538,270,297,241,0,1252794
1976,KANSAS,KS,Jimmy Carter,Gerald Ford,,R,430421,502752,0,D,R,False,7,430421,502752,0,538,270,297,241,0,933173
1976,KENTUCKY,KY,Jimmy Carter,Gerald Ford,,D,615717,531852,0,D,R,True,9,615717,531852,41933,538,270,297,241,0,1147569
1976,LOUISIANA,LA,Jimmy Carter,Gerald Ford,,D,661365,587446,0,D,R,True,10,661365,587446,36960,538,270,297,241,0,1248811
1976,MAINE,ME,Jimmy Carter,Gerald Ford,,R,232279,236320,0,D,R,False,4,232279,236320,0,538,270,297,241,0,468599
1976,MARYLAND,MD,Jimmy Carter,Gerald Ford,,D,759612,672661,0,D,R,True,10,759612,672661,43476,538,270,297,241,0,1432273
1976,MASSACHUSETTS,MA,Jimmy Carter,Gerald Ford,,D,1429475,1030276,0,D,R,True,14,1429475,1030276,199600,538,270,297,241,0,2459751
1976,MICHIGAN,MI,Jimmy Carter,Gerald Ford,,R,1696714,1893742,0,D,R,False,21,1696714,1893742,0,538,270,297,241,0,3590456
1976,MINNESOTA,MN,Jimmy Carter,Gerald Ford,,T,0,819395,1070440,D,R,False,10,0,819395,0,538,270,297,241,0,1889835
1976,MISSISSIPPI,MS,Jimmy Carter,Gerald Ford,,D,381309,366846,0,D,R,True,7,381309,366846,7232,538,270,297,241,0,748155
1976,MISSOURI,MO,Jimmy Carter,Gerald Ford,,D,998387,927443,0,D,R,True,12,998387,927443,35473,538,270,297,241,0,1925830
1976,MONTANA,MT,Jimmy Carter,Gerald Ford,,R,149259,173703,0,D,R,False,4,149259,173703,0,538,270,297,241,0,322962
1976,NEBRASKA,NE,Jimmy Carter,Gerald Ford,,R,233692,359705,0,D,R,False,5,233692,359705,0,538,270,297,241,0,593397
1976,NEVADA,NV,Jimmy Carter,Gerald Ford,,R,92479,101273,0,D,R,False,3,92479,101273,0,538,270,297,241,0,193752
1976,NEW HAMPSHIRE,NH,Jimmy Carter,Gerald Ford,,R,147635,185935,0,D,R,False,4,147635,185935,0,538,270,297,241,0,333570
1976,NEW JERSEY,NJ,Jimmy Carter,Gerald Ford,,R,1444653,1509688,0,D,R,False,17,1444653,1509688,0,538,270,297,241,0,2954341
1976,NEW MEXICO,NM,Jimmy Carter,Gerald Ford,,R,201148,211419,0,D,R,False,4,201148,211419,0,538,270,297,241,0,412567
1976,NEW YORK,NY,Jimmy Carter,Gerald Ford,,D,3389558,3100791,0,D,R,True,41,3389558,3100791,144384,538,270,297,241,0,6490349
1976,NORTH CAROLINA,NC,Jimmy Carter,Gerald Ford,,D,927365,741960,0,D,R,True,13,927365,741960,92703,538,270,297,241,0,1669325
1976,NORTH DAKOTA,ND,Jimmy Carter,Gerald Ford,,R,0,153470,136078,D,R,False,3,0,153470,0,538,270,297,241,0,289548
1976,OHIO,OH,Jimmy Carter,Gerald Ford,,D,2011621,2000505,0,D,R,True,25,2011621,2000505,5559,538,270,297,241,0,4012126
1976,OKLAHOMA,OK,Jimmy Carter,Gerald Ford,,R,532442,545708,0,D,R,False,8,532442,545708,0,538,270,297,241,0,1078150
1976,OREGON,OR,Jimmy Carter,Gerald Ford,,R,490407,492120,0,D,R,False,6,490407,492120,0,538,270,297,241,0,982527
1976,PENNSYLVANIA,PA,Jimmy Carter,Gerald Ford,,D,2328677,2205604,0,D,R,True,27,2328677,2205604,61537,538,270,297,241,0,4534281
1976,RHODE ISLAND,RI,Jimmy Carter,Gerald Ford,,D,227636,181249,0,D,R,True,4,227636,181249,23194,538,270,297,241,0,408885
1976,SOUTH CAROLINA,SC,Jimmy Carter,Gerald Ford,,D,450825,346140,0,D,R,True,8,450825,346140,52343,538,270,297,241,0,796965
1976,SOUTH DAKOTA,SD,Jimmy Carter,Gerald Ford,,R,147068,151505,0,D,R,False,4,147068,151505,0,538,270,297,241,0,298573
1976,TENNESSEE,TN,Jimmy Carter,Gerald Ford,,D,825879,633969,0,D,R,True,10,825879,633969,95956,538,270,297,241,0,1459848
1976,TEXAS,TX,Jimmy Carter,Gerald Ford,,D,2082319,1953300,0,D,R,True,26,2082319,1953300,64510,538,270,297,241,0,4035619
1976,UTAH,UT,Jimmy Carter,Gerald Ford,,R,182110,337908,0,D,R,False,4,182110,337908,0,538,270,297,241,0,520018
1976,VERMONT,VT,Jimmy Carter,Gerald Ford,,R,81044,102085,0,D,R,False,3,81044,102085,0,538,270,297,241,0,183129
1976,VIRGINIA,VA,Jimmy Carter,Gerald Ford,,R,813896,836554,0,D,R,False,12,813896,836554,0,538,270,297,241,0,1650450
1976,WASHINGTON,WA,Jimmy Carter,Gerald Ford,,R,717323,777732,0,D,R,False,9,717323,777732,0,538,270,297,241,0,1495055
1976,WEST VIRGINIA,WV,Jimmy Carter,Gerald Ford,,D,435914,314760,0,D,R,True,6,435914,314760,60578,538,270,297,241,0,750674
1976,WISCONSIN,WI,Jimmy Carter,Gerald Ford,,D,1040232,1004987,0,D,R,True,11,1040232,1004987,17623,538,270,297,241,0,2045219
1976,WYOMING,WY,Jimmy Carter,Gerald Ford,,R,62239,92717,0,D,R,False,3,62239,92717,0,538,270,297,241,0,154956
1976,D.C.,DC,Jimmy Carter,Gerald Ford,,D,137818,27873,0,D,R,True,3,137818,27873,54973,538,270,297,241,0,165691
1980,ALABAMA,AL,Jimmy Carter,Ronald Reagan,John B. Anderson,R,636730,654192,0,R,D,True,9,654192,636730,8732,538,270,49,489,0,1290922
1980,ALASKA,AK,Jimmy Carter,Ronald Reagan,John B. Anderson,R,41842,86112,18479,R,D,True,3,86112,41842,22136,538,270,49,489,0,146433
1980,ARIZONA,AZ,Jimmy Carter,Ronald Reagan,John B. Anderson,R,246843,529688,76952,R,D,True,6,529688,246843,141423,538,270,49,489,0,853483
1980,ARKANSAS,AR,Jimmy Carter,Ronald Reagan,John B. Anderson,R,398041,403164,0,R,D,True,6,403164,398041,2562,538,270,49,489,0,801205
1980,CALIFORNIA,CA,Jimmy Carter,Ronald Reagan,John B. Anderson,R,3083661,4524858,739833,R,D,True,45,4524858,3083661,720599,538,270,49,489,0,8348352
1980,COLORADO,CO,Jimmy Carter,Ronald Reagan,John B. Anderson,R,367973,652264,130633,R,D,True,7,652264,367973,142146,538,270,49,489,0,1150870
1980,CONNECTICUT,CT,Jimmy Carter,Ronald Reagan,John B. Anderson,R,541732,677210,171807,R,D,True,8,677210,541732,67740,538,270,49,489,0,1390749
1980,DELAWARE,DE,Jimmy Carter,Ronald Reagan,John B. Anderson,R,105754,111252,16288,R,D,True,3,111252,105754,2750,538,270,49,489,0,233294
1980,FLORIDA,FL,Jimmy Carter,Ronald Reagan,John B. Anderson,R,1419475,2046951,189692,R,D,True,17,2046951,1419475,313739,538,270,49,489,0,3656118
1980,GEORGIA,GA,Jimmy Carter,Ronald Reagan,John B. Anderson,D,893733,655168,0,R,D,False,12,655168,893733,0,538,270,49,489,0,1548901
1980,HAWAII,HI,Jimmy Carter,Ronald Reagan,John B. Anderson,D,135879,130112,32021,R,D,False,4,130112,135879,0,538,270,49,489,0,298012
1980,IDAHO,ID,Jimmy Carter,Ronald Reagan,John B. Anderson,R,110192,290699,27058,R,D,True,4,290699,110192,90254,538,270,49,489,0,427949
1980,ILLINOIS,IL,Jimmy Carter,Ronald Reagan,John B. Anderson,R,1981413,2358049,346754,R,D,True,26,2358049,1981413,188319,538,270,49,489,0,4686216
1980,INDIANA,IN,Jimmy Carter,Ronald Reagan,John B. Anderson,R,844197,1255656,0,R,D,True,13,1255656,844197,205730,538,270,49,489,0,2099853
1980,IOWA,IA,Jimmy Carter,Ronald Reagan,John B. Anderson,R,508672,676026,115633,R,D,True,8,676026,508672,83678,538,270,49,489,0,1300331
1980,KANSAS,KS,Jimmy Carter,Ronald Reagan,John B. Anderson,R,326150,566812,68231,R,D,True,7,566812,326150,120332,538,270,49,489,0,961193
1980,KENTUCKY,KY,Jimmy Carter,Ronald Reagan,John B. Anderson,R,616417,635274,0,R,D,True,9,635274,616417,9429,538,270,49,489,0,1251691
1980,LOUISIANA,LA,Jimmy Carter,Ronald Reagan,John B. Anderson,R,708453,792853,0,R,D,True,10,792853,708453,42201,538,270,49,489,0,1501306
1980,MAINE,ME,Jimmy Carter,Ronald Reagan,John B. Anderson,R,220974,238522,53327,R,D,True,4,238522,220974,8775,538,270,49,489,0,512823
1980,MARYLAND,MD,Jimmy Carter,Ronald Reagan,John B. Anderson,D,726161,680606,119537,R,D,False,10,680606,726161,0,538,270,49,489,0,1526304
1980,MASSACHUSETTS,MA,Jimmy Carter,Ronald Reagan,John B. Anderson,R,1053802,1057631,382539,R,D,True,14,1057631,1053802,1915,538,270,49,489,0,2493972
1980,MICHIGAN,MI,Jimmy Carter,Ronald Reagan,John B. Anderson,R,1661532,1915225,275223,R,D,True,21,1915225,1661532,126847,538,270,49,489,0,3851980
1980,MINNESOTA,MN,Jimmy Carter,Ronald Reagan,John B. Anderson,T,0,873241,954174,R,D,False,10,873241,0,436621,538,270,49,489,0,1827415
1980,MISSISSIPPI,MS,Jimmy Carter,Ronald Reagan,John B. Anderson,R,429281,441089,0,R,D,True,7,441089,429281,5905,538,270,49,489,0,870370
1980,MISSOURI,MO,Jimmy Carter,Ronald Reagan,John B. Anderson,R,931182,1074181,0,R,D,True,12,1074181,931182,71500,538,270,49,489,0,2005363
1980,MONTANA,MT,Jimmy Carter,Ronald Reagan,John B. Anderson,R,118032,206814,29281,R,D,True,4,206814,118032,44392,538,270,49,489,0,354127
1980,NEBRASKA,NE,Jimmy Carter,Ronald Reagan,John B. Anderson,R,166851,419937,44993,R,D,True,5,419937,166851,126544,538,270,49,489,0,631781
1980,NEVADA,NV,Jimmy Carter,Ronald Reagan,John B. Anderson,R,66666,155017,17651,R,D,True,3,155017,66666,44176,538,270,49,489,0,239334
1980,NEW HAMPSHIRE,NH,Jimmy Carter,Ronald Reagan,John B. Anderson,R,108864,221705,49693,R,D,True,4,221705,108864,56421,538,270,49,489,0,380262
1980,NEW JERSEY,NJ,Jimmy Carter,Ronald Reagan,John B. Anderson,R,1147364,1546557,234632,R,D,True,17,1546557,1147364,199597,538,270,49,489,0,2928553
1980,NEW MEXICO,NM,Jimmy Carter,Ronald Reagan,John B. Anderson,R,167826,250779,29459,R,D,True,4,250779,167826,41477,538,270,49,489,0,448064
1980,NEW YORK,NY,Jimmy Carter,Ronald Reagan,John B. Anderson,R,2728372,2893831,467801,R,D,True,41,2893831,2728372,82730,538,270,49,489,0,6090004
1980,NORTH CAROLINA,NC,Jimmy Carter,Ronald Reagan,John B. Anderson,R,875635,915018,0,R,D,True,13,915018,875635,19692,538,270,49,489,0,1790653
1980,NORTH DAKOTA,ND,Jimmy Carter,Ronald Reagan,John B. Anderson,R,0,193695,79189,R,D,True,3,193695,0,96848,538,270,49,489,0,272884
1980,OHIO,OH,Jimmy Carter,Ronald Reagan,John B. Anderson,R,1752414,2206545,254472,R,D,True,25,2206545,1752414,227066,538,270,49,489,0,4213431
1980,OKLAHOMA,OK,Jimmy Carter,Ronald Reagan,John B. Anderson,R,402026,695570,0,R,D,True,8,695570,402026,146773,538,270,49,489,0,1097596
1980,OREGON,OR,Jimmy Carter,Ronald Reagan,John B. Anderson,R,456890,571044,112389,R,D,True,6,571044,456890,57078,538,270,49,489,0,1140323
1980,PENNSYLVANIA,PA,Jimmy Carter,Ronald Reagan,John B. Anderson,R,1937540,2261872,292921,R,D,True,27,2261872,1937540,162167,538,270,49,489,0,4492333
1980,RHODE ISLAND,RI,Jimmy Carter,Ronald Reagan,John B. Anderson,D,198342,154793,59819,R,D,False,4,154793,198342,0,538,270,49,489,0,412954
1980,SOUTH CAROLINA,SC,Jimmy Carter,Ronald Reagan,John B. Anderson,R,427560,441207,0,R,D,True,8,441207,427560,6824,538,270,49,489,0,868767
1980,SOUTH DAKOTA,SD,Jimmy Carter,Ronald Reagan,John B. Anderson,R,103855,198343,21431,R,D,True,4,198343,103855,47245,538,270,49,489,0,323629
1980,TENNESSEE,TN,Jimmy Carter,Ronald Reagan,John B. Anderson,R,783051,787761,0,R,D,True,10,787761,783051,2356,538,270,49,489,0,1570812
1980,TEXAS,TX,Jimmy Carter,Ronald Reagan,John B. Anderson,R,1881147,2510705,0,R,D,True,26,2510705,1881147,314780,538,270,49,489,0,4391852
1980,UTAH,UT,Jimmy Carter,Ronald Reagan,John B. Anderson,R,124266,439687,30284,R,D,True,4,439687,124266,157711,538,270,49,489,0,594237
1980,VERMONT,VT,Jimmy Carter,Ronald Reagan,John B. Anderson,R,81891,94598,31760,R,D,True,3,94598,81891,6354,538,270,49,489,0,208249
1980,VIRGINIA,VA,Jimmy Carter,Ronald Reagan,John B. Anderson,R,752174,989609,95418,R,D,True,12,989609,752174,118718,538,270,49,489,0,1837201
1980,WASHINGTON,WA,Jimmy Carter,Ronald Reagan,John B. Anderson,R,650193,865244,185073,R,D,True,9,865244,650193,107526,538,270,49,489,0,1700510
1980,WEST VIRGINIA,WV,Jimmy Carter,Ronald Reagan,John B. Anderson,D,367462,334206,0,R,D,False,6,334206,367462,0,538,270,49,489,0,701668
1980,WISCONSIN,WI,Jimmy Carter,Ronald Reagan,John B. Anderson,R,981584,1088845,160657,R,D,True,11,1088845,981584,53631,538,270,49,489,0,2231086
1980,WYOMING,WY,Jimmy Carter,Ronald Reagan,John B. Anderson,R,49427,110700,12072,R,D,True,3,110700,49427,30637,538,270,49,489,0,172199
1980,D.C.,DC,Jimmy Carter,Ronald Reagan,John B. Anderson,D,130231,23313,16131,R,D,False,3,23313,130231,0,538,270,49,489,0,169675
