,min_votes_to_flip,flipped_states,electoral_votes_flipped,margin,color,flip_margin_ratio
1912,508360,"['OHIO', 'ALABAMA', 'TENNESSEE', 'VIRGINIA', 'ILLINOIS', 'FLORIDA', 'IOWA', 'ARKANSAS', 'NEW YORK', 'MAINE', 'OKLAHOMA', 'WISCONSIN', 'OREGON', 'ARIZONA', 'MONTANA', 'DELAWARE', 'NEVADA', 'NORTH DAKOTA', 'MASSACHUSETTS', 'NEW MEXICO', 'CONNECTICUT', 'RHODE ISLAND', 'NEW HAMPSHIRE', 'IDAHO', 'WYOMING']",258,2529715,blue,20.095544359740128
1916,868,['NORTH DAKOTA'],5,584693,blue,0.14845397499200436
1920,651017,"['KANSAS', 'CONNECTICUT', 'MONTANA', 'MAINE', 'OREGON', 'INDIANA', 'VERMONT', 'COLORADO', 'IDAHO', 'RHODE ISLAND', 'MISSOURI', 'NEW HAMPSHIRE', 'WEST VIRGINIA', 'MARYLAND', 'UTAH', 'WYOMING', 'DELAWARE', 'NEW MEXICO', 'OKLAHOMA', 'ARIZONA', 'NEVADA', 'TENNESSEE']",145,7027428,red,9.263944077406414
1924,609393,"['COLORADO', 'NORTH DAKOTA', 'VERMONT', 'MAINE', 'OREGON', 'SOUTH DAKOTA', 'INDIANA', 'IDAHO', 'NEW HAMPSHIRE', 'NEBRASKA', 'MONTANA', 'RHODE ISLAND', 'WYOMING', 'UTAH', 'DELAWARE', 'MISSOURI', 'WEST VIRGINIA', 'NEW MEXICO', 'KENTUCKY', 'MARYLAND', 'NEVADA', 'ARIZONA']",137,7339279,red,8.303172559593389
1928,325738,"['MARYLAND', 'MONTANA', 'NEW HAMPSHIRE', 'WISCONSIN', 'NEW MEXICO', 'FLORIDA', 'CONNECTICUT', 'NORTH CAROLINA', 'NORTH DAKOTA', 'ARIZONA', 'UTAH', 'TENNESSEE', 'NEW YORK', 'VIRGINIA', 'NEVADA', 'TEXAS']",161,6407359,red,5.083810662084019
1932,886113,"['INDIANA', 'NEW YORK', 'SOUTH CAROLINA', 'TENNESSEE', 'VIRGINIA', 'COLORADO', 'IDAHO', 'WEST VIRGINIA', 'KANSAS', 'UTAH', 'RHODE ISLAND', 'MICHIGAN', 'NEVADA', 'WYOMING', 'MASSACHUSETTS', 'OHIO', 'NEW JERSEY']",210,7060910,blue,12.549558059796825
1936,1947814,"['NORTH DAKOTA', 'WEST VIRGINIA', 'UTAH', 'MARYLAND', 'ALABAMA', 'PENNSYLVANIA', 'GEORGIA', 'ARIZONA', 'INDIANA', 'MISSISSIPPI', 'MICHIGAN', 'TENNESSEE', 'KENTUCKY', 'IDAHO', 'NEW MEXICO', 'NEBRASKA', 'SOUTH CAROLINA', 'CONNECTICUT', 'ARKANSAS', 'VIRGINIA', 'IOWA', 'MASSACHUSETTS', 'RHODE ISLAND', 'SOUTH DAKOTA', 'WYOMING', 'KANSAS', 'NEVADA', 'DELAWARE', 'NEW HAMPSHIRE']",258,11073857,blue,17.589300638431578
1940,426514,"['NEW MEXICO', 'CONNECTICUT', 'MISSOURI', 'OHIO', 'IDAHO', 'NEW YORK', 'NEW JERSEY', 'DELAWARE', 'MINNESOTA', 'NEW HAMPSHIRE', 'NEVADA', 'ILLINOIS', 'WYOMING', 'WISCONSIN']",184,4964706,blue,8.590921597371526
1944,287505,"['KENTUCKY', 'CONNECTICUT', 'ILLINOIS', 'MONTANA', 'OREGON', 'DELAWARE', 'MISSOURI', 'PENNSYLVANIA', 'MARYLAND', 'NEW MEXICO', 'NEW HAMPSHIRE', 'IDAHO', 'NEVADA', 'NEW JERSEY', 'MICHIGAN']",168,3009733,blue,9.552508478326814
1948,29294,"['ILLINOIS', 'CALIFORNIA', 'OHIO']",78,1675961,blue,1.747892701560478
1952,713453,"['NEW HAMPSHIRE', 'UTAH', 'MASSACHUSETTS', 'MONTANA', 'WASHINGTON', 'MARYLAND', 'WYOMING', 'OKLAHOMA', 'ARIZONA', 'FLORIDA', 'PENNSYLVANIA', 'VIRGINIA', 'NEW MEXICO', 'NEVADA', 'TEXAS', 'MISSOURI', 'DELAWARE', 'RHODE ISLAND', 'TENNESSEE']",177,7117752,red,10.023572049152598
1956,1177118,"['PENNSYLVANIA', 'MICHIGAN', 'FLORIDA', 'ARIZONA', 'RHODE ISLAND', 'IDAHO', 'OREGON', 'SOUTH DAKOTA', 'OKLAHOMA', 'WASHINGTON', 'NEW MEXICO', 'VIRGINIA', 'MONTANA', 'KENTUCKY', 'TEXAS', 'LOUISIANA', 'WEST VIRGINIA', 'WYOMING', 'DELAWARE', 'NEVADA', 'TENNESSEE']",193,10264919,red,11.467387126970998
1960,18269,"['SOUTH CAROLINA', 'DELAWARE', 'NEVADA', 'MISSOURI', 'NEW MEXICO', 'ILLINOIS', 'HAWAII']",61,-791066,red,2.3094153964397406
1964,2098072,"['OREGON', 'CALIFORNIA', 'IOWA', 'COLORADO', 'HAWAII', 'TEXAS', 'NEW HAMPSHIRE', 'INDIANA', 'VERMONT', 'NEW MEXICO', 'DELAWARE', 'NORTH CAROLINA', 'OKLAHOMA', 'MONTANA', 'ARKANSAS', 'TENNESSEE', 'KANSAS', 'UTAH', 'SOUTH DAKOTA', 'NEVADA', 'ALASKA', 'VIRGINIA', 'WYOMING', 'NEBRASKA', 'FLORIDA', 'IDAHO']",218,15023097,blue,13.965642370544503
1968,135284,"['WISCONSIN', 'VERMONT', 'NEVADA', 'NEW JERSEY', 'OHIO', 'DELAWARE', 'MISSOURI', 'ALASKA']",79,1462821,red,9.248158182033208
1972,3303928,"['WEST VIRGINIA', 'ARIZONA', 'KENTUCKY', 'ILLINOIS', 'MARYLAND', 'CONNECTICUT', 'NEW YORK', 'WASHINGTON', 'IDAHO', 'IOWA', 'CALIFORNIA', 'NEW HAMPSHIRE', 'MAINE', 'MICHIGAN', 'NEW MEXICO', 'WYOMING', 'HAWAII', 'NEVADA', 'VERMONT', 'WISCONSIN', 'DELAWARE', 'MONTANA', 'OREGON', 'ALASKA', 'SOUTH DAKOTA', 'RHODE ISLAND']",253,18898218,red,17.482748902568485
1976,9246,"['HAWAII', 'OHIO']",29,476729,blue,1.9394666571574206
