year,winner_party,loser_party,D_total,R_total,S_two_party,winner_EC,loser_EC,total_EC,PV_share,EC_share,m,f,f_over_S,alpha,C1_euclidean,C2_max,C3_harmonic_like,C4_weighted_geom,C5_efficiency_ratio,popular_vote_safety,electoral_college_safety,state_concentration_R,margin_sensitivity_sigma,vote_efficiency_gap_eta,recount_vulnerability_V,coalition_brittleness_count,institutional_distortion_D
1900,R,D,6358265,7218279,13576544,292,155,447,0.5316727880084946,0.6532438478747203,0.0633455760169893,73232,0.005394008961338025,0.5,0.06357481681923405,0.0633455760169893,0.0006831397896782502,0.018484766828303766,0.08515210217508087,0.0633455760169893,0.005394008961338025,3.4121674514809133,0.04310719079856791,0.4168036165165065,0.0,0,0.914847897824919
1904,R,D,5084439,7630769,12715208,343,133,476,0.6001293097210836,0.7205882352941176,0.20025861944216722,196066,0.015419802806214416,0.5,0.20085140024272993,0.20025861944216722,0.0061568847016866355,0.05556931187303794,0.07699944626187494,0.20025861944216722,0.015419802806214416,4.137507947639428,0.09835745490933054,0.15031775729854524,0.01680672268907563,1,0.9230005537381251
1908,R,D,6408968,7678283,14087251,327,156,483,0.5450519054427297,0.6770186335403726,0.09010381088545949,72963,0.005179363951135676,0.5,0.09025254870097006,0.09010381088545949,0.0009329254818551975,0.02160278755068649,0.057482185273159146,0.09010381088545949,0.005179363951135676,3.236491972573958,0.05305531375482877,0.33737342489773703,0.053830227743271224,3,0.9425178147268408
1912,D,R,6282798,3469473,9752271,433,8,531,0.6442394802195304,0.815442561205273,0.2884789604390608,467434,0.04793078453213616,0.5,0.29243370312237826,0.2884789604390608,0.027276887639822188,0.117588362072355,0.1661500182168786,0.2884789604390608,0.04793078453213616,8.04831773453314,0.11497614026457509,0.14837893465929786,0.02824858757062147,1,0.8338499817831213
1916,D,R,9132755,8548062,17680817,276,255,531,0.5165346714464609,0.519774011299435,0.033069342892921745,1887,0.0001067258373863606,0.5,0.03306951511247178,0.033069342892921745,7.058681711545854e-06,0.0018786573162936785,0.003227334686750141,0.033069342892921745,0.0001067258373863606,1.0,0.0020316428098470615,0.024931531609280223,0.054613935969868174,3,0.9967726653132498
1920,R,D,9139529,16166957,25306486,404,127,531,0.6388463811214248,0.7608286252354048,0.2776927622428495,596492,0.023570716218759096,0.5,0.27869131465678837,0.2776927622428495,0.013005706811364504,0.08090375328023755,0.08488055658485581,0.2776927622428495,0.023570716218759096,13.046920441096471,0.15638786018855955,0.11072902605394536,0.02448210922787194,0,0.9151194434151442
1924,R,D,8384245,15723524,24107769,382,136,531,0.65221812935075,0.71939736346516,0.30443625870149993,549426,0.022790412501463738,0.5,0.30528812376860237,0.30443625870149993,0.013780841215190937,0.08329602581281723,0.07486103198965458,0.30443625870149993,0.022790412501463738,12.112452296288458,0.15685849922081785,0.05604730088284481,0.0,0,0.9251389680103455
1928,R,D,15021291,21428650,36449941,444,87,531,0.5878925839687916,0.8361581920903954,0.17578516793758323,411498,0.011289400989702563,0.5,0.17614731289903526,0.17578516793758323,0.003961157543996796,0.044547831023402054,0.06422271641092687,0.17578516793758323,0.011289400989702563,9.859213201684605,0.07384563785818685,0.32737100307506994,0.0,0,0.9357772835890731
1932,D,R,22821440,15760530,38581970,472,59,531,0.5915053067533876,0.8888888888888888,0.1830106135067753,874622,0.022669189779578387,0.5,0.18440926446734943,0.1830106135067753,0.008263123419148321,0.06441042096790053,0.12386816996676066,0.1830106135067753,0.022669189779578387,6.7483902402083995,0.09066503893517915,0.3669233860517784,0.0,1,0.8761318300332394
1936,D,R,27757431,16683574,44441005,523,8,531,0.6245905329998725,0.9849340866290018,0.24918106599974504,1947814,0.04382920683274377,0.5,0.2530063300084738,0.24918106599974504,0.021606839837178104,0.10450554282193074,0.1758930063843158,0.24918106599974504,0.04382920683274377,15.536160201653068,0.10770210035147887,0.33385555078202617,0.0,1,0.8241069936156842
1940,D,R,27313050,22348344,49661394,449,82,531,0.5499855682665694,0.8455743879472694,0.0999711365331388,426514,0.008588441959563197,0.5,0.10033937150999235,0.0999711365331388,0.0017157194970744073,0.029301814000952747,0.08590921597371526,0.0999711365331388,0.008588441959563197,7.0810768898920164,0.03462153428207609,0.5531625923373226,0.035781544256120526,1,0.9140907840262847
1944,D,R,25023052,22013319,47036371,421,99,531,0.5319936778285893,0.7928436911487758,0.06398735565717857,278659,0.005924330344277623,0.5,0.06426102531104208,0.06398735565717857,0.0007578771677708909,0.019470034226213045,0.09258595363774794,0.06398735565717857,0.005924330344277623,7.422270471060291,0.02515875608025258,0.6497883803375765,0.047080979284369114,2,0.907414046362252
1948,D,R,23656824,21980863,45637687,304,189,531,0.5183615900604253,0.5725047080979284,0.03672318012085056,29294,0.0006418817851132552,0.5,0.03672878939489422,0.03672318012085056,4.714276957545909e-05,0.004855094274162672,0.01747892701560478,0.03672318012085056,0.0006418817851132552,2.288951142228285,0.004248678781480847,0.3392187890838016,0.09416195856873823,3,0.9825210729843952
1952,R,D,26706534,33824286,60530820,442,89,531,0.5587944455403049,0.832391713747646,0.11758889108060984,713453,0.0117866072192645,0.5,0.1181781342521058,0.11758889108060984,0.0027681116141050656,0.037228672720310926,0.10023572049152597,0.11758889108060984,0.0117866072192645,10.454068991009633,0.057665806671444685,0.47715604084787144,0.03954802259887006,3,0.899764279508474
1956,R,D,25314261,35579180,60893441,457,74,531,0.5842859167705763,0.8606403013182674,0.16857183354115265,1177118,0.019330784739197117,0.5,0.16967658147799672,0.16857183354115265,0.006496083349572528,0.05708437463330741,0.11467387126970997,0.16857183354115265,0.019330784739197117,8.63529790058643,0.0804552248839398,0.36950047957905285,0.02448210922787194,1,0.88532612873029
1960,D,R,34097024,34108157,68205181,298,220,537,0.4999183859654298,0.5549348230912476,0.00016322806914037806,11874,0.00017409234644505964,0.5,0.00023864523386408267,0.00017409234644505964,5.6833513509665526e-08,0.00016857270705053308,1.0665588790083536,0.00016322806914037806,0.00017409234644505964,2.973805841642084,0.004018569969720661,-0.9952781243169291,0.055865921787709494,7,0.06655887900835344
1964,D,R,42198871,27175774,69374645,472,52,538,0.6082751270294788,0.8773234200743495,0.2165502540589577,2059247,0.02968299153098369,0.5,0.21857514158574293,0.2165502540589577,0.012773611734813135,0.08017393190597807,0.1370720697603164,0.2165502540589577,0.02968299153098369,6.7937087223137675,0.12378194068851994,0.2936229949955672,0.0,1,0.8629279302396836
1968,R,D,30322659,31785480,62108139,302,181,538,0.5117764034114756,0.5613382899628253,0.023552806822951175,164724,0.0026522127800351577,0.5,0.02370166538177934,0.023552806822951175,0.0001249263067445537,0.007903610267563196,0.11260707906162135,0.023552806822951175,0.0026522127800351577,3.525597264722602,0.016011292206972543,0.4454203070170921,0.0,1,0.8873929209383786
1972,R,D,28270492,47168710,75439202,521,17,538,0.625254625572524,0.9684014869888475,0.2505092511450479,3303928,0.04379590335539339,0.5,0.2543088005948037,0.2505092511450479,0.021704432521851943,0.10474387310377868,0.17482748902568485,0.2505092511450479,0.04379590335539339,9.934283335792747,0.12116298126113224,0.3191018453586425,0.0,0,0.8251725109743151
1976,D,R,40680446,38870893,79551339,297,241,538,0.5113734917774294,0.5520446096654275,0.02274698355485883,8354,0.0001050139457740617,0.5,0.022747225957769554,0.02274698355485883,4.777489582876219e-06,0.001545558312569739,0.004616609737321869,0.02274698355485883,0.0001050139457740617,1.972850774411589,0.008616681147593485,0.39524471342469314,0.05762081784386617,3,0.9953833902626782
1980,R,D,35480948,43642639,79123587,448,90,538,0.5515755876942232,0.8327137546468402,0.10315117538844643,646649,0.008172645155735925,0.5,0.10347442733767416,0.10315117538844643,0.0016846157463741803,0.029034771461936008,0.07922978216156432,0.10315117538844643,0.008172645155735925,5.022322906616286,0.04339685426442264,0.5274550977929153,0.04460966542750929,7,0.9207702178384356
1984,R,D,37449813,54166829,91616642,525,13,538,0.591233511920247,0.9758364312267658,0.18246702384049396,2595297,0.028327790053689152,0.5,0.184652859383583,0.18246702384049396,0.010284615067442588,0.0718949757846472,0.15524881952616423,0.18246702384049396,0.028327790053689152,7.776961016034685,0.09546338221452451,0.445942543247644,0.01858736059479554,0,0.8447511804738358
1988,R,D,41716679,48642640,90359319,426,112,538,0.5383245528886733,0.79182156133829,0.07664910577734656,537766,0.005951417141601079,0.5,0.07687980737788178,0.07664910577734656,0.0009119256101864153,0.021358155398153996,0.07764496508138004,0.07664910577734656,0.005951417141601079,6.468905738854361,0.03978063691531716,0.5879304010492947,0.0,0,0.9223550349186199
1992,D,R,44856747,38798913,83655660,370,168,538,0.5362069583815369,0.6877323420074349,0.07241391676307377,284837,0.003404874218911189,0.5,0.07249392049969419,0.07241391676307377,0.0004929990025826742,0.015702238002175697,0.04701961130001252,0.07241391676307377,0.003404874218911189,8.219561567998136,0.028021074504562146,0.4436577203786926,0.0,2,0.9529803886999876
1996,D,R,47295351,39003697,86299048,379,159,538,0.5480402402585021,0.7044609665427509,0.09608048051700407,575514,0.006668833704863117,0.5,0.09631164041465351,0.09608048051700407,0.0012806689118247743,0.025312936353794294,0.06940882964966942,0.09608048051700407,0.006668833704863117,5.782377431769105,0.05161230255106562,0.3674717816863992,0.0,2,0.9305911703503307
2000,R,D,50830580,50311372,101141952,271,267,538,0.49743327081525973,0.5037174721189591,0.005133458369480549,269,2.6596283211935636e-06,0.5,0.005133459058452955,0.005133458369480549,2.7306182157463403e-08,0.00011684644310007302,0.0005180967935779111,0.005133458369480549,2.6596283211935636e-06,1.0,4.617991661177437e-05,-0.289882497586211,0.10223048327137546,2,0.9994819032064222
2004,R,D,58894554,61872711,120767265,286,252,538,0.5123301500617737,0.5315985130111525,0.024660300123547554,57787,0.00047849887136220233,0.5,0.02466494198966084,0.024660300123547554,2.3599573079930667e-05,0.00343510200380872,0.01940361102520787,0.024660300123547554,0.00047849887136220233,1.3301337178026424,0.010587529318796935,0.1928460472178337,0.01858736059479554,2,0.9805963889747922
2008,D,R,69338846,59613835,128952681,365,173,538,0.5377076727858027,0.6784386617100372,0.07541534557160545,495316,0.003841067872020435,0.5,0.07551309919531933,0.07541534557160545,0.0005791831467198342,0.01701985490338893,0.05093217889419354,0.07541534557160545,0.003841067872020435,4.74479480437569,0.04848810873151201,0.40820913235097045,0.048327137546468404,3,0.9490678211058066
2012,D,R,65752017,60670117,126422134,332,206,538,0.5200989329922243,0.6171003717472119,0.04019786598444858,214735,0.0016985554127728932,0.5,0.04023373609539571,0.04019786598444858,0.0001365472824829023,0.00826306860977231,0.042254865306283085,0.04019786598444858,0.0016985554127728932,3.2351942862616174,0.02731951636374153,0.48874091709887973,0.0,1,0.957745134693717
2016,R,D,65677168,62692411,128369579,306,232,538,0.4883743600966394,0.5687732342007435,0.023251279806721186,38875,0.0003028365466556527,0.5,0.023253251872037826,0.023251279806721186,1.4082575403820296e-05,0.002653551823875267,0.01302451087307945,0.023251279806721186,0.0003028365466556527,2.33027668646016,0.004080249083513282,-0.6014795336490947,0.03717472118959108,4,0.9869754891269206
2020,D,R,81268908,74216146,155485054,306,232,538,0.522679871211287,0.5687732342007435,0.04535974242257394,32280,0.00020760837887350895,0.5,0.04536021752462429,0.04535974242257394,1.8833947820475565e-05,0.003068723283463419,0.0045769302863190335,0.04535974242257394,0.00020760837887350895,3.642812702371754,0.005892125736716861,0.2457803909458437,0.05018587360594796,4,0.995423069713681
2024,R,D,74458902,76943509,151402411,312,226,538,0.5082053085667176,0.5799256505576208,0.016410617133435213,115479,0.0007627289369916308,0.5,0.0164283325426387,0.016410617133435213,2.5033391783849296e-05,0.0035379164152876314,0.04647777294356814,0.016410617133435213,0.0007627289369916308,2.421046689005383,0.008720340818168085,0.6692103818176139,0.0,3,0.9535222270564319
