,min_votes_to_flip,flipped_states,number_of_flipped_states,electoral_votes_flipped,total_electoral_votes,electoral_votes_to_win,popular_vote_margin,color,flip_margin_ratio,popular_margin_ratio
1900,73232,"['OHIO', 'KANSAS', 'INDIANA', 'MARYLAND', 'DELAWARE', 'NEBRASKA', 'UTAH']",7,70,447,224,860014,red,0.5393117559534768,6.333510766940319
1904,196066,"['COLORADO', 'MAINE', 'CONNECTICUT', 'WEST VIRGINIA', 'NEW YORK', 'MONTANA', 'RHODE ISLAND', 'WYOMING', 'DELAWARE', 'MISSOURI', 'NEVADA', 'MARYLAND']",12,106,476,239,2546330,red,1.5172290299572757,19.70441481874017
1908,72963,"['IDAHO', 'KANSAS', 'OHIO', 'WYOMING', 'MONTANA', 'DELAWARE', 'INDIANA', 'MARYLAND', 'MISSOURI']",9,86,483,242,1269315,red,0.5130239514537296,8.92492080834794
1912,209355,"['FLORIDA', 'GEORGIA', 'DELAWARE', 'NEBRASKA', 'UTAH', 'WEST VIRGINIA', 'NEW HAMPSHIRE', 'NEW MEXICO', 'RHODE ISLAND', 'NEW JERSEY', 'KANSAS', 'IDAHO', 'WYOMING', 'OREGON', 'IOWA', 'MASSACHUSETTS', 'MONTANA', 'ARIZONA', 'NEVADA', 'NORTH DAKOTA', 'ILLINOIS', 'MAINE', 'VERMONT']",23,176,531,266,2120264,blue,1.504548572545573,15.237468293662758
1916,1887,['CALIFORNIA'],1,13,531,266,584693,blue,0.010558476249051794,3.2715777177990675
1920,596492,"['CONNECTICUT', 'SOUTH DAKOTA', 'MONTANA', 'MAINE', 'OREGON', 'INDIANA', 'VERMONT', 'COLORADO', 'IDAHO', 'RHODE ISLAND', 'MISSOURI', 'NEW HAMPSHIRE', 'WEST VIRGINIA', 'MARYLAND', 'UTAH', 'WYOMING', 'DELAWARE', 'NEW MEXICO', 'OKLAHOMA', 'ARIZONA', 'NEVADA', 'TENNESSEE']",22,140,531,266,7027428,red,2.3021495881605634,27.12222540457879
1924,549426,"['NORTH DAKOTA', 'VERMONT', 'MAINE', 'OREGON', 'SOUTH DAKOTA', 'INDIANA', 'IDAHO', 'NEW HAMPSHIRE', 'NEBRASKA', 'MONTANA', 'RHODE ISLAND', 'WYOMING', 'UTAH', 'DELAWARE', 'MISSOURI', 'WEST VIRGINIA', 'NEW MEXICO', 'KENTUCKY', 'MARYLAND', 'NEVADA', 'ARIZONA']",21,131,531,266,7339279,red,1.9040467534680063,25.43441765177825
1928,411498,"['MARYLAND', 'MISSOURI', 'MONTANA', 'NEW HAMPSHIRE', 'WISCONSIN', 'NEW MEXICO', 'FLORIDA', 'CONNECTICUT', 'NORTH CAROLINA', 'NORTH DAKOTA', 'ARIZONA', 'UTAH', 'TENNESSEE', 'NEW YORK', 'VIRGINIA', 'NEVADA', 'TEXAS']",17,179,531,266,6407359,red,1.1289400989702563,17.57851679375832
1932,874622,"['OREGON', 'ARIZONA', 'NEW MEXICO', 'NEW YORK', 'SOUTH CAROLINA', 'TENNESSEE', 'VIRGINIA', 'COLORADO', 'IDAHO', 'WEST VIRGINIA', 'KANSAS', 'UTAH', 'RHODE ISLAND', 'MICHIGAN', 'NEVADA', 'WYOMING', 'MASSACHUSETTS', 'OHIO', 'NEW JERSEY']",19,207,531,266,7060910,blue,2.2669189779578387,18.301061350677532
1936,1947814,"['NORTH DAKOTA', 'WEST VIRGINIA', 'UTAH', 'MARYLAND', 'ALABAMA', 'PENNSYLVANIA', 'GEORGIA', 'ARIZONA', 'INDIANA', 'MISSISSIPPI', 'MICHIGAN', 'TENNESSEE', 'KENTUCKY', 'IDAHO', 'NEW MEXICO', 'NEBRASKA', 'SOUTH CAROLINA', 'CONNECTICUT', 'ARKANSAS', 'VIRGINIA', 'IOWA', 'MASSACHUSETTS', 'RHODE ISLAND', 'SOUTH DAKOTA', 'WYOMING', 'KANSAS', 'NEVADA', 'DELAWARE', 'NEW HAMPSHIRE']",29,258,531,266,11073857,blue,4.356351558756602,24.767053837480226
1940,426514,"['NEW MEXICO', 'CONNECTICUT', 'MISSOURI', 'OHIO', 'IDAHO', 'NEW YORK', 'NEW JERSEY', 'DELAWARE', 'MINNESOTA', 'NEW HAMPSHIRE', 'NEVADA', 'ILLINOIS', 'WYOMING', 'WISCONSIN']",14,184,531,266,4964706,blue,0.8588441959563197,9.99711365331388
1944,278659,"['MINNESOTA', 'CONNECTICUT', 'ILLINOIS', 'MONTANA', 'OREGON', 'DELAWARE', 'MISSOURI', 'PENNSYLVANIA', 'MARYLAND', 'NEW MEXICO', 'NEW HAMPSHIRE', 'IDAHO', 'NEVADA', 'NEW JERSEY', 'MICHIGAN']",15,168,531,266,3009733,blue,0.5833411643456899,6.3005363278761735
1948,29294,"['ILLINOIS', 'CALIFORNIA', 'OHIO']",3,78,531,266,1675961,blue,0.0612458737071782,3.503983605658363
1952,713453,"['NEW HAMPSHIRE', 'UTAH', 'MASSACHUSETTS', 'MONTANA', 'WASHINGTON', 'MARYLAND', 'WYOMING', 'OKLAHOMA', 'ARIZONA', 'FLORIDA', 'PENNSYLVANIA', 'VIRGINIA', 'NEW MEXICO', 'NEVADA', 'TEXAS', 'MISSOURI', 'DELAWARE', 'RHODE ISLAND', 'TENNESSEE']",19,177,531,266,7117752,red,1.164778550807053,11.620393858549901
1956,1177118,"['PENNSYLVANIA', 'MICHIGAN', 'FLORIDA', 'ARIZONA', 'RHODE ISLAND', 'IDAHO', 'OREGON', 'SOUTH DAKOTA', 'OKLAHOMA', 'WASHINGTON', 'NEW MEXICO', 'VIRGINIA', 'MONTANA', 'KENTUCKY', 'TEXAS', 'LOUISIANA', 'WEST VIRGINIA', 'WYOMING', 'DELAWARE', 'NEVADA', 'TENNESSEE']",21,193,531,266,10264919,red,1.903900140694953,16.602737132829755
1960,11874,"['NEVADA', 'MISSOURI', 'NEW MEXICO', 'ILLINOIS', 'HAWAII']",5,50,537,269,112827,blue,0.01721664375319006,0.16359291432888454
1964,2059247,"['OREGON', 'CALIFORNIA', 'IOWA', 'COLORADO', 'TEXAS', 'NEW HAMPSHIRE', 'INDIANA', 'VERMONT', 'NEW MEXICO', 'DELAWARE', 'NORTH CAROLINA', 'OKLAHOMA', 'MONTANA', 'ARKANSAS', 'TENNESSEE', 'KANSAS', 'NORTH DAKOTA', 'UTAH', 'SOUTH DAKOTA', 'NEVADA', 'ALASKA', 'VIRGINIA', 'WYOMING', 'NEBRASKA', 'FLORIDA', 'IDAHO']",26,218,538,270,15023097,blue,2.9202737790614286,21.304659542734022
1968,164724,"['ILLINOIS', 'NEVADA', 'NEW JERSEY', 'OHIO', 'DELAWARE', 'MISSOURI', 'ALASKA']",7,90,538,270,1462821,red,0.22645555578758408,2.011024152963439
1972,3303928,"['WEST VIRGINIA', 'ARIZONA', 'KENTUCKY', 'ILLINOIS', 'MARYLAND', 'CONNECTICUT', 'NEW YORK', 'WASHINGTON', 'IDAHO', 'IOWA', 'CALIFORNIA', 'NEW HAMPSHIRE', 'MAINE', 'MICHIGAN', 'NEW MEXICO', 'WYOMING', 'HAWAII', 'NEVADA', 'VERMONT', 'WISCONSIN', 'DELAWARE', 'MONTANA', 'OREGON', 'ALASKA', 'SOUTH DAKOTA', 'RHODE ISLAND']",26,253,538,270,18898218,red,4.324159175820335,24.73386307793421
1976,8354,"['HAWAII', 'OHIO']",2,29,538,270,1809553,blue,0.01050139457740617,2.2746983554858833
1980,646649,"['ILLINOIS', 'MICHIGAN', 'PENNSYLVANIA', 'WISCONSIN', 'LOUISIANA', 'MAINE', 'VERMONT', 'NORTH CAROLINA', 'KENTUCKY', 'ALABAMA', 'DELAWARE', 'MISSISSIPPI', 'SOUTH CAROLINA', 'ARKANSAS', 'TENNESSEE', 'MASSACHUSETTS']",16,181,538,270,8161691,red,0.8172645155735925,10.315117538844643
1984,2595297,"['CALIFORNIA', 'MAINE', 'GEORGIA', 'WYOMING', 'ILLINOIS', 'ALASKA', 'WASHINGTON', 'TENNESSEE', 'NEVADA', 'MONTANA', 'OREGON', 'NEW MEXICO', 'WISCONSIN', 'DELAWARE', 'PENNSYLVANIA', 'VERMONT', 'WEST VIRGINIA', 'IOWA', 'NEW YORK', 'HAWAII', 'MARYLAND', 'MASSACHUSETTS', 'RHODE ISLAND']",23,257,538,270,16717016,red,2.8327790053689155,18.246702384049396
1988,537766,"['MAINE', 'COLORADO', 'NORTH DAKOTA', 'DELAWARE', 'CONNECTICUT', 'MISSOURI', 'CALIFORNIA', 'SOUTH DAKOTA', 'MONTANA', 'NEW MEXICO', 'MARYLAND', 'PENNSYLVANIA', 'ILLINOIS', 'VERMONT']",14,158,538,270,6925961,red,0.5951417141601079,7.664910577734656
1992,284837,"['HAWAII', 'LOUISIANA', 'TENNESSEE', 'COLORADO', 'DELAWARE', 'KENTUCKY', 'NEW JERSEY', 'OHIO', 'MONTANA', 'NEVADA', 'NEW HAMPSHIRE', 'GEORGIA']",12,103,538,270,6057834,blue,0.3404874218911189,7.241391676307377
1996,575514,"['IOWA', 'OREGON', 'OHIO', 'NEW HAMPSHIRE', 'MISSOURI', 'FLORIDA', 'NEW MEXICO', 'TENNESSEE', 'ARIZONA', 'KENTUCKY', 'NEVADA']",11,111,538,270,8291654,blue,0.6668833704863117,9.608048051700408
2000,269,['FLORIDA'],1,25,538,270,-519208,blue,0.00026596283211935634,-0.5133458369480549
2004,57787,"['COLORADO', 'IOWA', 'NEW MEXICO']",3,21,538,270,2978157,red,0.04784988713622023,2.4660300123547554
2008,495316,"['IOWA', 'VIRGINIA', 'NEW HAMPSHIRE', 'OHIO', 'FLORIDA', 'INDIANA', 'NORTH CAROLINA']",7,97,538,270,9725011,blue,0.3841067872020435,7.541534557160545
2012,214735,"['VIRGINIA', 'NEW HAMPSHIRE', 'OHIO', 'FLORIDA']",4,64,538,270,5081900,blue,0.1698555412772893,4.019786598444858
2016,38875,"['WISCONSIN', 'PENNSYLVANIA', 'MICHIGAN']",3,46,538,270,-2984757,blue,0.030283654665565273,-2.325127980672119
2020,32280,"['NE-02', 'WISCONSIN', 'ARIZONA', 'GEORGIA']",4,38,538,270,7052762,blue,0.020760837887350895,4.535974242257394
2024,115479,"['PENNSYLVANIA', 'MICHIGAN', 'WISCONSIN']",3,44,538,270,2484607,red,0.07627289369916308,1.6410617133435212
