index,year,state,state_po,totalvotes,D_name,R_name,D_votes,R_votes,winner_votes,loser_votes,votes_to_flip,party_win,electoral_votes,total_electoral_votes,D_electoral,R_electoral,overall_winner,winner_state
0,1976,ALABAMA,AL,1163240,"CARTER, JIMMY","FORD, GERALD",659170,504070,659170,504070,77551,D,9,538,297,241,D,True
1,1976,ALASKA,AK,115613,"CARTER, JIMMY","FORD, GERALD",44058,71555,71555,44058,13749,R,3,538,297,241,D,False
2,1976,ARIZONA,AZ,714244,"CARTER, JIMMY","FORD, GERALD",295602,418642,418642,295602,61521,R,6,538,297,241,D,False
3,1976,ARKANSAS,AR,766507,"CARTER, JIMMY","FORD, GERALD",498604,267903,498604,267903,115351,D,6,538,297,241,D,True
4,1976,CALIFORNIA,CA,7624528,"CARTER, JIMMY","FORD, GERALD",3742284,3882244,3882244,3742284,69981,R,45,538,297,241,D,False
5,1976,COLORADO,CO,1045079,"CARTER, JIMMY","FORD, GERALD",460801,584278,584278,460801,61739,R,7,538,297,241,D,False
6,1976,CONNECTICUT,CT,1367156,"CARTER, JIMMY","FORD, GERALD",647895,719261,719261,647895,35684,R,8,538,297,241,D,False
7,1976,DELAWARE,DE,232241,"CARTER, JIMMY","FORD, GERALD",122461,109780,122461,109780,6341,D,3,538,297,241,D,True
8,1976,D.C.,DC,165691,"CARTER, JIMMY","FORD, GERALD",137818,27873,137818,27873,54973,D,3,538,297,241,D,True
9,1976,FLORIDA,FL,3105531,"CARTER, JIMMY","FORD, GERALD",1636000,1469531,1636000,1469531,83235,D,17,538,297,241,D,True
10,1976,GEORGIA,GA,1463152,"CARTER, JIMMY","FORD, GERALD",979409,483743,979409,483743,247834,D,12,538,297,241,D,True
11,1976,HAWAII,HI,287378,"CARTER, JIMMY","FORD, GERALD",147375,140003,147375,140003,3687,D,4,538,297,241,D,True
12,1976,IDAHO,ID,330700,"CARTER, JIMMY","FORD, GERALD",126549,204151,204151,126549,38802,R,4,538,297,241,D,False
13,1976,ILLINOIS,IL,4635564,"CARTER, JIMMY","FORD, GERALD",2271295,2364269,2364269,2271295,46488,R,26,538,297,241,D,False
14,1976,INDIANA,IN,2198672,"CARTER, JIMMY","FORD, GERALD",1014714,1183958,1183958,1014714,84623,R,13,538,297,241,D,False
15,1976,IOWA,IA,1252795,"CARTER, JIMMY","FORD, GERALD",619931,632864,632864,619931,6467,R,8,538,297,241,D,False
16,1976,KANSAS,KS,933173,"CARTER, JIMMY","FORD, GERALD",430421,502752,502752,430421,36166,R,7,538,297,241,D,False
17,1976,KENTUCKY,KY,1147569,"CARTER, JIMMY","FORD, GERALD",615717,531852,615717,531852,41933,D,9,538,297,241,D,True
18,1976,LOUISIANA,LA,1248811,"CARTER, JIMMY","FORD, GERALD",661365,587446,661365,587446,36960,D,10,538,297,241,D,True
19,1976,MAINE,ME,468599,"CARTER, JIMMY","FORD, GERALD",232279,236320,236320,232279,2021,R,4,538,297,241,D,False
20,1976,MARYLAND,MD,1432273,"CARTER, JIMMY","FORD, GERALD",759612,672661,759612,672661,43476,D,10,538,297,241,D,True
21,1976,MASSACHUSETTS,MA,2459751,"CARTER, JIMMY","FORD, GERALD",1429475,1030276,1429475,1030276,199600,D,14,538,297,241,D,True
22,1976,MICHIGAN,MI,3590456,"CARTER, JIMMY","FORD, GERALD",1696714,1893742,1893742,1696714,98515,R,21,538,297,241,D,False
23,1976,MINNESOTA,MN,1889835,"CARTER, JIMMY","FORD, GERALD",1070440,819395,1070440,819395,125523,D,10,538,297,241,D,True
24,1976,MISSISSIPPI,MS,748175,"CARTER, JIMMY","FORD, GERALD",381329,366846,381329,366846,7242,D,7,538,297,241,D,True
25,1976,MISSOURI,MO,1925830,"CARTER, JIMMY","FORD, GERALD",998387,927443,998387,927443,35473,D,12,538,297,241,D,True
26,1976,MONTANA,MT,322962,"CARTER, JIMMY","FORD, GERALD",149259,173703,173703,149259,12223,R,4,538,297,241,D,False
27,1976,NEBRASKA,NE,592512,"CARTER, JIMMY","FORD, GERALD",233293,359219,359219,233293,62964,R,5,538,297,241,D,False
28,1976,NEVADA,NV,193752,"CARTER, JIMMY","FORD, GERALD",92479,101273,101273,92479,4398,R,3,538,297,241,D,False
29,1976,NEW HAMPSHIRE,NH,333580,"CARTER, JIMMY","FORD, GERALD",147645,185935,185935,147645,19146,R,4,538,297,241,D,False
30,1976,NEW JERSEY,NJ,2954341,"CARTER, JIMMY","FORD, GERALD",1444653,1509688,1509688,1444653,32518,R,17,538,297,241,D,False
31,1976,NEW MEXICO,NM,412567,"CARTER, JIMMY","FORD, GERALD",201148,211419,211419,201148,5136,R,4,538,297,241,D,False
32,1976,NEW YORK,NY,6070078,"CARTER, JIMMY","FORD, GERALD",3244165,2825913,3244165,2825913,209127,D,41,538,297,241,D,True
33,1976,NORTH CAROLINA,NC,1669325,"CARTER, JIMMY","FORD, GERALD",927365,741960,927365,741960,92703,D,13,538,297,241,D,True
34,1976,NORTH DAKOTA,ND,289762,"CARTER, JIMMY","FORD, GERALD",136078,153684,153684,136078,8804,R,3,538,297,241,D,False
35,1976,OHIO,OH,4010585,"CARTER, JIMMY","FORD, GERALD",2009959,2000626,2009959,2000626,4667,D,25,538,297,241,D,True
36,1976,OKLAHOMA,OK,1078150,"CARTER, JIMMY","FORD, GERALD",532442,545708,545708,532442,6634,R,8,538,297,241,D,False
37,1976,OREGON,OR,982527,"CARTER, JIMMY","FORD, GERALD",490407,492120,492120,490407,857,R,6,538,297,241,D,False
38,1976,PENNSYLVANIA,PA,4534281,"CARTER, JIMMY","FORD, GERALD",2328677,2205604,2328677,2205604,61537,D,27,538,297,241,D,True
39,1976,RHODE ISLAND,RI,408885,"CARTER, JIMMY","FORD, GERALD",227636,181249,227636,181249,23194,D,4,538,297,241,D,True
40,1976,SOUTH CAROLINA,SC,796956,"CARTER, JIMMY","FORD, GERALD",450807,346149,450807,346149,52330,D,8,538,297,241,D,True
41,1976,SOUTH DAKOTA,SD,298573,"CARTER, JIMMY","FORD, GERALD",147068,151505,151505,147068,2219,R,4,538,297,241,D,False
42,1976,TENNESSEE,TN,1459848,"CARTER, JIMMY","FORD, GERALD",825879,633969,825879,633969,95956,D,10,538,297,241,D,True
43,1976,TEXAS,TX,4035619,"CARTER, JIMMY","FORD, GERALD",2082319,1953300,2082319,1953300,64510,D,26,538,297,241,D,True
44,1976,UTAH,UT,520018,"CARTER, JIMMY","FORD, GERALD",182110,337908,337908,182110,77900,R,4,538,297,241,D,False
45,1976,VERMONT,VT,178185,"CARTER, JIMMY","FORD, GERALD",77798,100387,100387,77798,11295,R,3,538,297,241,D,False
46,1976,VIRGINIA,VA,1650450,"CARTER, JIMMY","FORD, GERALD",813896,836554,836554,813896,11330,R,12,538,297,241,D,False
47,1976,WASHINGTON,WA,1495055,"CARTER, JIMMY","FORD, GERALD",717323,777732,777732,717323,30205,R,9,538,297,241,D,False
48,1976,WEST VIRGINIA,WV,750590,"CARTER, JIMMY","FORD, GERALD",435864,314726,435864,314726,60570,D,6,538,297,241,D,True
49,1976,WISCONSIN,WI,2045219,"CARTER, JIMMY","FORD, GERALD",1040232,1004987,1040232,1004987,17623,D,11,538,297,241,D,True
50,1976,WYOMING,WY,154956,"CARTER, JIMMY","FORD, GERALD",62239,92717,92717,62239,15240,R,3,538,297,241,D,False
51,1980,ALABAMA,AL,1290922,"CARTER, JIMMY","REAGAN, RONALD",636730,654192,654192,636730,8732,R,9,538,90,448,R,True
52,1980,ALASKA,AK,127954,"CARTER, JIMMY","REAGAN, RONALD",41842,86112,86112,41842,22136,R,3,538,90,448,R,True
53,1980,ARIZONA,AZ,776531,"CARTER, JIMMY","REAGAN, RONALD",246843,529688,529688,246843,141423,R,6,538,90,448,R,True
54,1980,ARKANSAS,AR,801205,"CARTER, JIMMY","REAGAN, RONALD",398041,403164,403164,398041,2562,R,6,538,90,448,R,True
55,1980,CALIFORNIA,CA,7605937,"CARTER, JIMMY","REAGAN, RONALD",3082943,4522994,4522994,3082943,720026,R,45,538,90,448,R,True
56,1980,COLORADO,CO,1020273,"CARTER, JIMMY","REAGAN, RONALD",368009,652264,652264,368009,142128,R,7,538,90,448,R,True
57,1980,CONNECTICUT,CT,1218942,"CARTER, JIMMY","REAGAN, RONALD",541732,677210,677210,541732,67740,R,8,538,90,448,R,True
58,1980,DELAWARE,DE,217006,"CARTER, JIMMY","REAGAN, RONALD",105754,111252,111252,105754,2750,R,3,538,90,448,R,True
59,1980,D.C.,DC,153544,"CARTER, JIMMY","REAGAN, RONALD",130231,23313,130231,23313,53460,D,3,538,90,448,R,False
60,1980,FLORIDA,FL,3466426,"CARTER, JIMMY","REAGAN, RONALD",1419475,2046951,2046951,1419475,313739,R,17,538,90,448,R,True
61,1980,GEORGIA,GA,1545123,"CARTER, JIMMY","REAGAN, RONALD",890955,654168,890955,654168,118394,D,12,538,90,448,R,False
62,1980,HAWAII,HI,265991,"CARTER, JIMMY","REAGAN, RONALD",135879,130112,135879,130112,2884,D,4,538,90,448,R,False
63,1980,IDAHO,ID,400891,"CARTER, JIMMY","REAGAN, RONALD",110192,290699,290699,110192,90254,R,4,538,90,448,R,True
64,1980,ILLINOIS,IL,4339462,"CARTER, JIMMY","REAGAN, RONALD",1981413,2358049,2358049,1981413,188319,R,26,538,90,448,R,True
65,1980,INDIANA,IN,2099853,"CARTER, JIMMY","REAGAN, RONALD",844197,1255656,1255656,844197,205730,R,13,538,90,448,R,True
66,1980,IOWA,IA,1184698,"CARTER, JIMMY","REAGAN, RONALD",508672,676026,676026,508672,83678,R,8,538,90,448,R,True
67,1980,KANSAS,KS,892962,"CARTER, JIMMY","REAGAN, RONALD",326150,566812,566812,326150,120332,R,7,538,90,448,R,True
68,1980,KENTUCKY,KY,1252691,"CARTER, JIMMY","REAGAN, RONALD",617417,635274,635274,617417,8929,R,9,538,90,448,R,True
69,1980,LOUISIANA,LA,1501306,"CARTER, JIMMY","REAGAN, RONALD",708453,792853,792853,708453,42201,R,10,538,90,448,R,True
70,1980,MAINE,ME,459496,"CARTER, JIMMY","REAGAN, RONALD",220974,238522,238522,220974,8775,R,4,538,90,448,R,True
71,1980,MARYLAND,MD,1406767,"CARTER, JIMMY","REAGAN, RONALD",726161,680606,726161,680606,22778,D,10,538,90,448,R,False
72,1980,MASSACHUSETTS,MA,2111433,"CARTER, JIMMY","REAGAN, RONALD",1053802,1057631,1057631,1053802,1915,R,14,538,90,448,R,True
73,1980,MICHIGAN,MI,3576757,"CARTER, JIMMY","REAGAN, RONALD",1661532,1915225,1915225,1661532,126847,R,21,538,90,448,R,True
74,1980,MINNESOTA,MN,1827441,"CARTER, JIMMY","REAGAN, RONALD",954173,873268,954173,873268,40453,D,10,538,90,448,R,False
75,1980,MISSISSIPPI,MS,870370,"CARTER, JIMMY","REAGAN, RONALD",429281,441089,441089,429281,5905,R,7,538,90,448,R,True
76,1980,MISSOURI,MO,2005363,"CARTER, JIMMY","REAGAN, RONALD",931182,1074181,1074181,931182,71500,R,12,538,90,448,R,True
77,1980,MONTANA,MT,324846,"CARTER, JIMMY","REAGAN, RONALD",118032,206814,206814,118032,44392,R,4,538,90,448,R,True
78,1980,NEBRASKA,NE,585638,"CARTER, JIMMY","REAGAN, RONALD",166424,419214,419214,166424,126396,R,5,538,90,448,R,True
79,1980,NEVADA,NV,221683,"CARTER, JIMMY","REAGAN, RONALD",66666,155017,155017,66666,44176,R,3,538,90,448,R,True
80,1980,NEW HAMPSHIRE,NH,330569,"CARTER, JIMMY","REAGAN, RONALD",108864,221705,221705,108864,56421,R,4,538,90,448,R,True
81,1980,NEW JERSEY,NJ,2693921,"CARTER, JIMMY","REAGAN, RONALD",1147364,1546557,1546557,1147364,199597,R,17,538,90,448,R,True
82,1980,NEW MEXICO,NM,418605,"CARTER, JIMMY","REAGAN, RONALD",167826,250779,250779,167826,41477,R,4,538,90,448,R,True
83,1980,NEW YORK,NY,5366072,"CARTER, JIMMY","REAGAN, RONALD",2728372,2637700,2728372,2637700,45337,D,41,538,90,448,R,False
84,1980,NORTH CAROLINA,NC,1790653,"CARTER, JIMMY","REAGAN, RONALD",875635,915018,915018,875635,19692,R,13,538,90,448,R,True
85,1980,NORTH DAKOTA,ND,272884,"CARTER, JIMMY","REAGAN, RONALD",79189,193695,193695,79189,57254,R,3,538,90,448,R,True
86,1980,OHIO,OH,3958959,"CARTER, JIMMY","REAGAN, RONALD",1752414,2206545,2206545,1752414,227066,R,25,538,90,448,R,True
87,1980,OKLAHOMA,OK,1097596,"CARTER, JIMMY","REAGAN, RONALD",402026,695570,695570,402026,146773,R,8,538,90,448,R,True
88,1980,OREGON,OR,1027934,"CARTER, JIMMY","REAGAN, RONALD",456890,571044,571044,456890,57078,R,6,538,90,448,R,True
89,1980,PENNSYLVANIA,PA,4199412,"CARTER, JIMMY","REAGAN, RONALD",1937540,2261872,2261872,1937540,162167,R,27,538,90,448,R,True
90,1980,RHODE ISLAND,RI,353135,"CARTER, JIMMY","REAGAN, RONALD",198342,154793,198342,154793,21775,D,4,538,90,448,R,False
91,1980,SOUTH CAROLINA,SC,867497,"CARTER, JIMMY","REAGAN, RONALD",428220,439277,439277,428220,5529,R,8,538,90,448,R,True
92,1980,SOUTH DAKOTA,SD,302198,"CARTER, JIMMY","REAGAN, RONALD",103855,198343,198343,103855,47245,R,4,538,90,448,R,True
93,1980,TENNESSEE,TN,1570812,"CARTER, JIMMY","REAGAN, RONALD",783051,787761,787761,783051,2356,R,10,538,90,448,R,True
94,1980,TEXAS,TX,4391852,"CARTER, JIMMY","REAGAN, RONALD",1881147,2510705,2510705,1881147,314780,R,26,538,90,448,R,True
95,1980,UTAH,UT,563953,"CARTER, JIMMY","REAGAN, RONALD",124266,439687,439687,124266,157711,R,4,538,90,448,R,True
96,1980,VERMONT,VT,176580,"CARTER, JIMMY","REAGAN, RONALD",81952,94628,94628,81952,6339,R,3,538,90,448,R,True
97,1980,VIRGINIA,VA,1741783,"CARTER, JIMMY","REAGAN, RONALD",752174,989609,989609,752174,118718,R,12,538,90,448,R,True
98,1980,WASHINGTON,WA,1515437,"CARTER, JIMMY","REAGAN, RONALD",650193,865244,865244,650193,107526,R,9,538,90,448,R,True
99,1980,WEST VIRGINIA,WV,701668,"CARTER, JIMMY","REAGAN, RONALD",367462,334206,367462,334206,16629,D,6,538,90,448,R,False
100,1980,WISCONSIN,WI,2070429,"CARTER, JIMMY","REAGAN, RONALD",981584,1088845,1088845,981584,53631,R,11,538,90,448,R,True
101,1980,WYOMING,WY,160127,"CARTER, JIMMY","REAGAN, RONALD",49427,110700,110700,49427,30637,R,3,538,90,448,R,True
102,1984,ALABAMA,AL,1424748,"MONDALE, WALTER","REAGAN, RONALD",551899,872849,872849,551899,160476,R,9,538,13,525,R,True
103,1984,ALASKA,AK,200384,"MONDALE, WALTER","REAGAN, RONALD",62007,138377,138377,62007,38186,R,3,538,13,525,R,True
104,1984,ARIZONA,AZ,1015270,"MONDALE, WALTER","REAGAN, RONALD",333854,681416,681416,333854,173782,R,7,538,13,525,R,True
105,1984,ARKANSAS,AR,873420,"MONDALE, WALTER","REAGAN, RONALD",338646,534774,534774,338646,98065,R,6,538,13,525,R,True
106,1984,CALIFORNIA,CA,9389528,"MONDALE, WALTER","REAGAN, RONALD",3922519,5467009,5467009,3922519,772246,R,47,538,13,525,R,True
107,1984,COLORADO,CO,1276792,"MONDALE, WALTER","REAGAN, RONALD",454975,821817,821817,454975,183422,R,8,538,13,525,R,True
108,1984,CONNECTICUT,CT,1460474,"MONDALE, WALTER","REAGAN, RONALD",569597,890877,890877,569597,160641,R,8,538,13,525,R,True
109,1984,DELAWARE,DE,253846,"MONDALE, WALTER","REAGAN, RONALD",101656,152190,152190,101656,25268,R,3,538,13,525,R,True
110,1984,D.C.,DC,209417,"MONDALE, WALTER","REAGAN, RONALD",180408,29009,180408,29009,75700,D,3,538,13,525,R,False
111,1984,FLORIDA,FL,4179166,"MONDALE, WALTER","REAGAN, RONALD",1448816,2730350,2730350,1448816,640768,R,21,538,13,525,R,True
112,1984,GEORGIA,GA,1775350,"MONDALE, WALTER","REAGAN, RONALD",706628,1068722,1068722,706628,181048,R,12,538,13,525,R,True
113,1984,HAWAII,HI,332204,"MONDALE, WALTER","REAGAN, RONALD",147154,185050,185050,147154,18949,R,4,538,13,525,R,True
114,1984,IDAHO,ID,406033,"MONDALE, WALTER","REAGAN, RONALD",108510,297523,297523,108510,94507,R,4,538,13,525,R,True
115,1984,ILLINOIS,IL,4793602,"MONDALE, WALTER","REAGAN, RONALD",2086499,2707103,2707103,2086499,310303,R,24,538,13,525,R,True
116,1984,INDIANA,IN,2218711,"MONDALE, WALTER","REAGAN, RONALD",841481,1377230,1377230,841481,267875,R,12,538,13,525,R,True
117,1984,IOWA,IA,1308708,"MONDALE, WALTER","REAGAN, RONALD",605620,703088,703088,605620,48735,R,8,538,13,525,R,True
118,1984,KANSAS,KS,1010445,"MONDALE, WALTER","REAGAN, RONALD",333149,677296,677296,333149,172074,R,7,538,13,525,R,True
119,1984,KENTUCKY,KY,1361241,"MONDALE, WALTER","REAGAN, RONALD",539539,821702,821702,539539,141082,R,9,538,13,525,R,True
120,1984,LOUISIANA,LA,1688885,"MONDALE, WALTER","REAGAN, RONALD",651586,1037299,1037299,651586,192857,R,10,538,13,525,R,True
121,1984,MAINE,ME,551015,"MONDALE, WALTER","REAGAN, RONALD",214515,336500,336500,214515,60993,R,4,538,13,525,R,True
122,1984,MARYLAND,MD,1667853,"MONDALE, WALTER","REAGAN, RONALD",787935,879918,879918,787935,45992,R,10,538,13,525,R,True
123,1984,MASSACHUSETTS,MA,2550542,"MONDALE, WALTER","REAGAN, RONALD",1239606,1310936,1310936,1239606,35666,R,13,538,13,525,R,True
124,1984,MICHIGAN,MI,3781209,"MONDALE, WALTER","REAGAN, RONALD",1529638,2251571,2251571,1529638,360967,R,20,538,13,525,R,True
125,1984,MINNESOTA,MN,2068967,"MONDALE, WALTER","REAGAN, RONALD",1036364,1032603,1036364,1032603,1881,D,10,538,13,525,R,False
126,1984,MISSISSIPPI,MS,934569,"MONDALE, WALTER","REAGAN, RONALD",352192,582377,582377,352192,115093,R,7,538,13,525,R,True
127,1984,MISSOURI,MO,2122771,"MONDALE, WALTER","REAGAN, RONALD",848583,1274188,1274188,848583,212803,R,11,538,13,525,R,True
128,1984,MONTANA,MT,379192,"MONDALE, WALTER","REAGAN, RONALD",146742,232450,232450,146742,42855,R,4,538,13,525,R,True
129,1984,NEBRASKA,NE,647920,"MONDALE, WALTER","REAGAN, RONALD",187866,460054,460054,187866,136095,R,5,538,13,525,R,True
130,1984,NEVADA,NV,280425,"MONDALE, WALTER","REAGAN, RONALD",91655,188770,188770,91655,48558,R,4,538,13,525,R,True
131,1984,NEW HAMPSHIRE,NH,387397,"MONDALE, WALTER","REAGAN, RONALD",120347,267050,267050,120347,73352,R,4,538,13,525,R,True
132,1984,NEW JERSEY,NJ,3194953,"MONDALE, WALTER","REAGAN, RONALD",1261323,1933630,1933630,1261323,336154,R,16,538,13,525,R,True
133,1984,NEW MEXICO,NM,508870,"MONDALE, WALTER","REAGAN, RONALD",201769,307101,307101,201769,52667,R,5,538,13,525,R,True
134,1984,NEW YORK,NY,6377804,"MONDALE, WALTER","REAGAN, RONALD",3001285,3376519,3376519,3001285,187618,R,36,538,13,525,R,True
135,1984,NORTH CAROLINA,NC,2170768,"MONDALE, WALTER","REAGAN, RONALD",824287,1346481,1346481,824287,261098,R,13,538,13,525,R,True
136,1984,NORTH DAKOTA,ND,304765,"MONDALE, WALTER","REAGAN, RONALD",104429,200336,200336,104429,47954,R,3,538,13,525,R,True
137,1984,OHIO,OH,4503999,"MONDALE, WALTER","REAGAN, RONALD",1825440,2678559,2678559,1825440,426560,R,23,538,13,525,R,True
138,1984,OKLAHOMA,OK,1246610,"MONDALE, WALTER","REAGAN, RONALD",385080,861530,861530,385080,238226,R,8,538,13,525,R,True
139,1984,OREGON,OR,1222179,"MONDALE, WALTER","REAGAN, RONALD",536479,685700,685700,536479,74611,R,7,538,13,525,R,True
140,1984,PENNSYLVANIA,PA,4812454,"MONDALE, WALTER","REAGAN, RONALD",2228131,2584323,2584323,2228131,178097,R,25,538,13,525,R,True
141,1984,RHODE ISLAND,RI,409186,"MONDALE, WALTER","REAGAN, RONALD",197106,212080,212080,197106,7488,R,4,538,13,525,R,True
142,1984,SOUTH CAROLINA,SC,959998,"MONDALE, WALTER","REAGAN, RONALD",344459,615539,615539,344459,135541,R,8,538,13,525,R,True
143,1984,SOUTH DAKOTA,SD,316380,"MONDALE, WALTER","REAGAN, RONALD",116113,200267,200267,116113,42078,R,3,538,13,525,R,True
144,1984,TENNESSEE,TN,1701926,"MONDALE, WALTER","REAGAN, RONALD",711714,990212,990212,711714,139250,R,11,538,13,525,R,True
145,1984,TEXAS,TX,5382704,"MONDALE, WALTER","REAGAN, RONALD",1949276,3433428,3433428,1949276,742077,R,29,538,13,525,R,True
146,1984,UTAH,UT,624474,"MONDALE, WALTER","REAGAN, RONALD",155369,469105,469105,155369,156869,R,5,538,13,525,R,True
147,1984,VERMONT,VT,231595,"MONDALE, WALTER","REAGAN, RONALD",95730,135865,135865,95730,20068,R,3,538,13,525,R,True
148,1984,VIRGINIA,VA,2133328,"MONDALE, WALTER","REAGAN, RONALD",796250,1337078,1337078,796250,270415,R,12,538,13,525,R,True
149,1984,WASHINGTON,WA,1850022,"MONDALE, WALTER","REAGAN, RONALD",798352,1051670,1051670,798352,126660,R,10,538,13,525,R,True
150,1984,WEST VIRGINIA,WV,733608,"MONDALE, WALTER","REAGAN, RONALD",328125,405483,405483,328125,38680,R,6,538,13,525,R,True
151,1984,WISCONSIN,WI,2194324,"MONDALE, WALTER","REAGAN, RONALD",995740,1198584,1198584,995740,101423,R,11,538,13,525,R,True
152,1984,WYOMING,WY,186611,"MONDALE, WALTER","REAGAN, RONALD",53370,133241,133241,53370,39936,R,3,538,13,525,R,True
153,1988,ALABAMA,AL,1365082,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",549506,815576,815576,549506,133036,R,9,538,112,426,R,True
154,1988,ALASKA,AK,191835,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",72584,119251,119251,72584,23334,R,3,538,112,426,R,True
155,1988,ARIZONA,AZ,1156570,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",454029,702541,702541,454029,124257,R,7,538,112,426,R,True
156,1988,ARKANSAS,AR,815815,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",349237,466578,466578,349237,58671,R,6,538,112,426,R,True
157,1988,CALIFORNIA,CA,9757150,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",4702233,5054917,5054917,4702233,176343,R,47,538,112,426,R,True
158,1988,COLORADO,CO,1349630,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",621453,728177,728177,621453,53363,R,8,538,112,426,R,True
159,1988,CONNECTICUT,CT,1426825,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",676584,750241,750241,676584,36829,R,8,538,112,426,R,True
160,1988,DELAWARE,DE,248286,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",108647,139639,139639,108647,15497,R,3,538,112,426,R,True
161,1988,D.C.,DC,186997,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",159407,27590,159407,27590,65909,D,3,538,112,426,R,False
162,1988,FLORIDA,FL,4275586,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",1656701,2618885,2618885,1656701,481093,R,21,538,112,426,R,True
163,1988,GEORGIA,GA,1796123,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",714792,1081331,1081331,714792,183270,R,12,538,112,426,R,True
164,1988,HAWAII,HI,350989,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",192364,158625,192364,158625,16870,D,4,538,112,426,R,False
165,1988,IDAHO,ID,401153,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",147272,253881,253881,147272,53305,R,4,538,112,426,R,True
166,1988,ILLINOIS,IL,4526879,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",2215940,2310939,2310939,2215940,47500,R,24,538,112,426,R,True
167,1988,INDIANA,IN,2158406,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",860643,1297763,1297763,860643,218561,R,12,538,112,426,R,True
168,1988,IOWA,IA,1215912,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",670557,545355,670557,545355,62602,D,8,538,112,426,R,False
169,1988,KANSAS,KS,976685,"DUKAKIS, MICHAEL","BUSH, GEORGE H.W.",422636,554049,554049,422636,65707,R,7,538,112,426,R,True
